Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,Virksomhedsform,CVR,Virksomhedens_navn,Tilsynsførende_myndighed,Driftsherre,latitude,longitude,kommune
PH - aktiv,"Falkevej 5
    

    8600 Silkeborg","Godkendt
        07-04-2025",141 - 879 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","8 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    23 - Aktivitets- og samværstilbud, § 104","8 pladser -
            ingen ledige",Glennie Hugger,glbh@silkeborg.dk,61505935,,,,,,,,,,,Primærkommune,29189641,Silkeborg Kommune,5798005641919,Tilbuddet selv,56.170709,9.560276,Silkeborg Kommune
Sortelung,"Sortelung 8
    

    5792 Årslev","Godkendt
        23-05-2024","400,68 - 636,32 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","5 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104","5 pladser -
                Kontakt afdelingen om ledige pladser",Frederik Madsen,frederik@sortelung.dk,30226243,,,,,,,,,,,Enkeltmandsvirksomhed,35270043,Bobexico,Faaborg-Midtfyn Kommune,Tilbuddet selv,55.310928,10.418662,Faaborg-Midtfyn Kommune
Tinghøjgård Beskæftigelse - aktivitet og samvær (Fonden Tinghøjgård),"Langhedevej 28
    

    6800 Varde","Godkendt
        05-11-2024","542,09 - 1.881,89 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","16 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Beskyttet beskæftigelsestilbud, § 103","1 pladser -
                Kontakt afdelingen om ledige pladser",Matthias von Arenstorff,matthias@varde.nu,20778058,10.264.593 kr.,1.220.672 kr.,413.434 kr.,4.971.191 kr.,0 kr.,"80,7 %","11,89 %","65,51 %","14,95 %",0 %,Fonde og andre selvejende institutioner,26734843,"Fonden ""Tinghøjgaard""",Socialtilsyn Syd,Tilbuddet selv,55.669885,8.464544,Varde Kommune
Ungdomscenter Knudmosens Fritidstilbud,"Lindegårdsvej 8
    

    7400 Herning","Godkendt
        28-11-2024",158 - 158 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Særlige klubtilbud, § 82, jf. § 84","5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Særlige klubtilbud, § 82, jf. § 84","5 pladser -
                Kontakt afdelingen om ledige pladser",Frank I Dali Simonsen,lgsfs@herning.dk,25613312,,,,,,,,,,,Primærkommune,29189919,Herning Kommune,5798005521297,Tilbuddet selv,56.131387,8.96567,Herning Kommune
A-Hus Vidarslund (Marjatta Værksteder og A-huse),"Præstøvej 131B
    

    4640 Faxe","Godkendt
        18-07-2024","433,12 - 1.789,7 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","0 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    22 - Aktivitets- og samværstilbud, § 104","0 pladser -
            ingen ledige",Kristoffer Stephan Petersen,kspr@marjatta.dk,60809125,,,,,,,,,,,Fonde og andre selvejende institutioner,67278712,Driftsfonden Marjatta,5798001865289,Tilbuddet selv,55.19245,12.073678,Faxe Kommune
A-tilbuddet (Aktivitetscenter Elbæktoften),"Elbæktoften 2
    

    8370 Hadsten","Godkendt
        14-06-2023",187 - 628 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Beskyttet beskæftigelsestilbud, § 103","5 pladser -
            ingen ledige",Ove Højer,okhj@favrskov.dk,89641635,,,,,,,,,,,Primærkommune,29189714,Favrskov Kommune,5798004478424,Tilbuddet selv,56.335595,10.0606,Favrskov Kommune
Aktivitetscenter Elbæktoften,"Elbæktoften 2
    

    8370 Hadsten","Godkendt
        14-06-2023",187 - 628 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","19 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    56 - Aktivitets- og samværstilbud, § 104","56 pladser -
                Kontakt afdelingen om ledige pladser",Ove Højer,okhj@favrskov.dk,89641635,,,,,,,,,,,Primærkommune,29189714,Favrskov Kommune,5798004478424,Tilbuddet selv,56.335595,10.0606,Favrskov Kommune
Aktivitetstilbuddet Skovly (Aktivitetstilbuddet Marie Magdalene),"Randersvej 85
    

    8544 Mørke","Godkendt
        02-04-2025","414,5 - 1.284,96 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","19 - Aktivitets- og samværstilbud, § 104
                
            
                
                    24 - Beskyttet beskæftigelsestilbud, § 103","19 pladser -
            ingen ledige",Sandy Dalum,sadm@syddjurs.dk,29221903,,,,,,,,,,,Primærkommune,29189978,Syddjurs Kommune,5798004440841,Tilbuddet selv,56.360698,10.333211,Syddjurs Kommune
Center for Socialpædagogik - VSV Vordingborg Afd. (Vordingborg Sociale Virksomhed),"Færgegaardsvej 15
    

    4760 Vordingborg","Godkendt
        07-04-2025",396 - 425 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    35 - Beskyttet beskæftigelsestilbud, § 103","5 pladser -
            ingen ledige",Teddy Jan Larsen,tedla@vordingborg.dk,29661719,,,,,,,,,,,Primærkommune,29189676,Vordingborg Kommune,5798007236311,Tilbuddet selv,54.999608,11.908293,Vordingborg Kommune
"DEN SELVEJENDE INSTITUTION BERNARDS HUS NØRREGÅRD, VÆRKSTED (Den selvejende Institution Bernards Hus Nørregård)","Nedermarken 8
    

    5560 Aarup","Godkendt
        01-11-2024","519,08 - 797,66 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104","8 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 2 pladser forbeholdt beboere på botilbuddet",Elke Dagmar Bliese,kontor@bernardshus.dk,64431275,9.652.856 kr.,792.962 kr.,525.879 kr.,5.159.907 kr.,780.601 kr.,"57,54 %","8,21 %","73,48 %","5,78 %",30 %,Øvrige virksomhedsformer,17570498,Den selvejende Institution Bernards Hus Nørregård,Socialtilsyn Syd,Tilbuddet selv,55.362693,10.009646,Assens Kommune
Dagtilbud (Fonden Skovhaven),"Frederiksgade 17D
    

    5700 Svendborg","Godkendt med vilkår
        13-12-2024","1.740,1 - 1.740,1 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    20 - Aktivitets- og samværstilbud, § 104","20 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 16 pladser forbeholdt beboere på botilbuddet",Helle Præstekjær,hsp@skovhaven-fyn.dk,25367437,21.975.879 kr.,62.323 kr.,2.627.795 kr.,9.619.371 kr.,1.299.289 kr.,"25,24 %","0,28 %","67,62 %","12,3 %",27 %,Øvrige virksomhedsformer,27034705,Fonden Skovhaven,Socialtilsyn Syd,Tilbuddet selv,55.058908,10.612188,Svendborg Kommune
"Dagtilbud Arbejdsliv og Øvebaner, Gartneriet","Viren 4
    

    9310 Vodskov","Godkendt
        20-02-2023",358 - 772 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","34 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Beskyttet beskæftigelsestilbud, § 103","34 pladser -
                Kontakt afdelingen om ledige pladser",Kasper Bonde Petersen,fagc-udv-haem@aalborg.dk,99317775,,,,,,,,,,,Primærkommune,29189420,Aalborg Kommune,5798003749440,Tilbuddet selv,57.113103,10.027931,Aalborg Kommune
Elevhus,"Engelstoft 125
    

    8520 Lystrup","Godkendt
        08-01-2025",702 - 4.588 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
            ingen ledige",Vicki Hvam,cbv@msb.aarhus.dk,41854355,,,,,,,,,,,Primærkommune,55133018,Aarhus Kommune,5798005773344,Tilbuddet selv,56.237165,10.196008,Aarhus Kommune
Fontænehuset Furesø,"Ballerupvej 29, st. 
    

    3500 Værløse","Godkendt
        15-09-2014","300,87 - 300,87 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","3 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Beskyttet beskæftigelsestilbud, § 103","6 pladser -
                Kontakt afdelingen om ledige pladser",Helle Kronborg Jensen,hk@fh3500.dk,30709198,,,,,,,,,,,Øvrige virksomhedsformer,36225661,Den selvejende institution Fontænehuset Furesø,Furesø Kommune,Tilbuddet selv,,,
GRO - Akademi,"Tølløsevej 1
    

    4330 Hvalsø","Godkendt
        16-04-2025","0 - 718,36 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Beskyttet beskæftigelsestilbud, § 103","10 pladser -
                Kontakt afdelingen om ledige pladser",Henrik Bekker,info@groakademi.dk,28689464,,,,,,,,,,,Øvrige virksomhedsformer,35171118,Gro Akademi,Lejre Kommune,Tilbuddet selv,55.595472,11.859902,Lejre Kommune
Habitus Huset Gyvelvej (Habitus Huset Sølyst),"Gyvelvej 7
    

    4690 Haslev","Godkendt
        06-03-2025","1.933,76 - 21.333,35 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.141.048 kr.,2.102.384 kr.,267.464 kr.,19.720.538 kr.,3.284.926 kr.,"28,3 %","5,82 %","68,78 %","6,8 %","41,1 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Sølyst ApS,55.322681,11.983298,Faxe Kommune
Habitus Huset Reerslevvej (Habitus Huset Skellebjerg),"Reerslevvej 29
    

    4291 Ruds Vedby","Godkendt
        24-01-2024","2.669,29 - 19.107,67 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Aktivitets- og samværstilbud, § 104","1 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,25257069,53.353.028 kr.,1.948.429 kr.,588.400 kr.,33.035.188 kr.,2.629.338 kr.,"30,6 %","3,65 %","71,66 %","4,8 %","38,67 %",Anpartsselskab,32082831,Habitus Bo- og Dagtilbud ApS,Socialtilsyn Hovedstaden,HabitusHuset Skellebjerg ApS,55.557407,11.386639,Kalundborg Kommune
Kuglen,"Trekanten 17
    

    6500 Vojens","Godkendt
        14-01-2016",0 - 522 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","30 - Aktivitets- og samværstilbud, § 104
                
            
                
                    30 - Beskyttet beskæftigelsestilbud, § 103","30 pladser -
            ingen ledige",Kristian Mølgaard,kpm@haderslev.dk,20432499,,,,,,,,,,,Primærkommune,29189757,Haderslev Kommune,5798005226048,Tilbuddet selv,55.252317,9.312914,Haderslev Kommune
Magneten- Center for Sociale Virksomhed,"Bernhard Bangs Alle 43
    

    2000 Frederiksberg","Godkendt
        25-03-2025",0 - 1.469 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","53 - Aktivitets- og samværstilbud, § 104
                
            
                
                    27 - Beskyttet beskæftigelsestilbud, § 103","53 pladser -
            ingen ledige",Rasmus Ulrik Rasmussen,rara08@frederiksberg.dk,28985002,,,,,,,,,,,Primærkommune,11259979,Frederiksberg Kommune,5798009172303,Tilbuddet selv,55.685673,12.506874,Frederiksberg Kommune
Marjatta Gartneri (Marjatta Værksteder og A-huse),"Vindbyholtvej 6B
    

    4640 Faxe","Godkendt
        18-07-2024","433,12 - 677.088,14 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","15 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Beskyttet beskæftigelsestilbud, § 103","15 pladser -
            ingen ledige",Kristoffer Stephan Petersen,kspr@marjatta.dk,60809125,,,,,,,,,,,Fonde og andre selvejende institutioner,67278712,Driftsfonden Marjatta,5798001865289,Tilbuddet selv,55.191711,12.077321,Faxe Kommune
Marjatta Værksteder i Snesere (Marjatta Værksteder og A-huse),"Sneserevej 73
    

    4733 Tappernøje","Godkendt
        18-07-2024","433,12 - 1.789,7 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","32 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Beskyttet beskæftigelsestilbud, § 103","32 pladser -
            ingen ledige",Kristoffer Stephan Petersen,kspr@marjatta.dk,60809125,,,,,,,,,,,Fonde og andre selvejende institutioner,67278712,Driftsfonden Marjatta,5798001865289,Tilbuddet selv,55.164519,11.932561,Næstved Kommune
Rugårdsvej 205  Vejrupvej 2 (Den Selvejende Institution Munkegården),"Rugårdsvej 205
    

    5464 Brenderup Fyn","Godkendt
        07-11-2024","198,43 - 248,04 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","9 - Aktivitets- og samværstilbud, § 104
                
            
                
                    9 - Beskyttet beskæftigelsestilbud, § 103","9 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 9 pladser forbeholdt beboere på botilbuddet",Tomas Elsby,tomas@munkegaarden.dk,42442042,5.496.249 kr.,102.643 kr.,209.066 kr.,2.674.836 kr.,0 kr.,"59,7 %","1,87 %","66,41 %","5,7 %","23,5 %",Øvrige virksomhedsformer,17525239,DEN SELVEJENDE INSTITUTION MUNKEGÅRDEN,Socialtilsyn Syd,Tilbuddet selv,55.492261,9.962751,Middelfart Kommune
Stefanshjemmet,"Carl Nielsens Vej 2
    

    8000 Aarhus C","Godkendt
        29-11-2024","435,02 - 435,02 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","30 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    30 - Aktivitets- og samværstilbud, § 104","30 pladser -
            ingen ledige",Polly-Nicole Dutschke,pdu@aarhus.dk,23380700,47.697.445 kr.,429.908 kr.,2.504.597 kr.,34.096.567 kr.,1.635.655 kr.,100 %,"0,9 %","86,13 %","5,12 %","34,19 %",Øvrige virksomhedsformer,45970019,STEFANSHJEMMET,5798005773443,Tilbuddet selv,56.13488,10.207739,Aarhus Kommune
"Uddannelse og Beskæftigelse (Thorshøjgård, Bo- og uddannelsestilbud.)","Pedersborgvej 20
    

    2635 Ishøj","Godkendt
        19-12-2024","1.029,37 - 1.029,37 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","14 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Beskyttet beskæftigelsestilbud, § 103",Kontakt afdelingen om ledige pladser,Rikke Mathiesen,rm@thgmail.dk,20186667,29.388.325 kr.,952.986 kr.,2.338.480 kr.,11.819.168 kr.,2.598.854 kr.,"81,8 %","3,24 %","67,87 %","10,8 %",13 %,Øvrige virksomhedsformer,64593528,Thorshøjgård,5798001587013,Tilbuddet selv,55.63119,12.266985,Ishøj Kommune
AC (Bo- & beskæftigelse),"Stenslund 7
    

    8300 Odder","Godkendt
        22-11-2024",363 - 857 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","43 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    39 - Aktivitets- og samværstilbud, § 104","43 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 1 pladser forbeholdt beboere på botilbuddet",Mette Iversen Båge,mette.baage@odder.dk,20467622,37.455.000 kr.,455.000 kr.,1.057.525 kr.,23.665.201 kr.,3.527.099 kr.,,"1,21 %","79,89 %","5,01 %","11,8 %",Primærkommune,32264328,Odder Kommune,5798006128839,Tilbuddet selv,55.973584,10.162683,Odder Kommune
Afd. Juelsmindevej (Kraphusene),"Juelsmindevej 11
    

    5463 Harndrup","Godkendt
        16-04-2025","17.036,53 - 17.036,53 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Aktivitets- og samværstilbud, § 104","1 pladser -
            ingen ledige",Casper Johnsen,cjoh@kraphusene.dk,48888180,,,,,,,,,,,Anpartsselskab,43004808,Kraphusene ApS,Socialtilsyn Syd,Tilbuddet selv,55.462196,10.014377,Middelfart Kommune
Aktivitetshuset Vildbjerg,"Lysgårdvej 27
    

    7480 Vildbjerg","Godkendt
        24-04-2015",54 - 269 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","10 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    17 - Aktivitets- og samværstilbud, § 104","17 pladser -
                Kontakt afdelingen om ledige pladser",Hanne Wisler Munk,hanne.munk@herning.dk,21488064,,,,,,,,,,,Primærkommune,29189919,Herning Kommune,5798005521495,Tilbuddet selv,56.192321,8.759242,Herning Kommune
Bavnebjerg Bo- og Aktivitetscenter,"Hårbyvej 1
    

    8680 Ry","Godkendt
        10-10-2024",257 - 3.499 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 - Aktivitets- og samværstilbud, § 104
                
            
                
                    24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
                Kontakt afdelingen om ledige pladser",Maja Leth Stobbe,Maja.Leth@skanderborg.dk,29441423,,,,,,,,,,,Primærkommune,29189633,Skanderborg kommune,5798005722106,Tilbuddet selv,56.086635,9.80431,Skanderborg Kommune
Bo- og dagtilbud DANIA,"Kragsbjergvænget 5, st. 
    

    5000 Odense C","Godkendt
        18-12-2024","2,86 - 279,52 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    25 - Aktivitets- og samværstilbud, § 104","25 pladser -
            ingen ledige",John Bay,jbay@odense.dk,63754500,,,,,,,,,,,Forening,37770612,Dania Bo- og Dagcenter,5798006615292,Tilbuddet selv,,,
Boformen Søparken,"Engparken 1, st.  7
    

    9500 Hobro","Godkendt
        10-03-2025",709 - 3.308 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 - Aktivitets- og samværstilbud, § 104
                
            
                
                    16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 pladser -
                Kontakt afdelingen om ledige pladser",Allison Hansen,alha@rebild.dk,21166486,,,,,,,,,,,Primærkommune,29189463,Rebild Kommune,5798004173015,Tilbuddet selv,,,
Dagtilbud Nors (Elmelund),"Håndværkervej 7
    

    7700 Thisted","Godkendt
        26-05-2025","442,66 - 452,51 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","2 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Alice Margrethe Thomsen,alice@elmelund-jbf.dk,97912423,18.295.076 kr.,-255.339 kr.,2.097.654 kr.,9.365.038 kr.,80.571 kr.,"54,9 %","-1,4 %","66,17 %","17,16 %","7,3 %",Øvrige virksomhedsformer,19185001,Den selvejende institution Elmelund,Socialtilsyn Nord,Tilbuddet selv,57.025132,8.678319,Thisted Kommune
"Dagtilbud Vrå, beskæftigelsestilbud (Fønix ApS)","Foldbjergvej 16
    

    9760 Vrå","Godkendt
        04-03-2024","947,92 - 947,92 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    6 - Aktivitets- og samværstilbud, § 104","6 pladser -
            ingen ledige",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,Anpartsselskab,36945559,Fønix ApS,Socialtilsyn Midt,Tilbuddet selv,57.351686,9.959625,Hjørring Kommune
Egehuset (HADRUPLUND),"Hadrupvej 60
    

    8350 Hundslund","Godkendt
        24-02-2025","732,67 - 7.026,21 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    20 - Aktivitets- og samværstilbud, § 104","20 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 20 pladser forbeholdt beboere på botilbuddet",Mette Jensen,mette@hadruplund.dk,86550809,32.379.000 kr.,934.000 kr.,5.099.000 kr.,13.370.000 kr.,3.963.000 kr.,"46,5 %","2,88 %","76,68 %","6,3 %","35,1 %",Fonde og andre selvejende institutioner,21326771,DEN ALMENNYTTIGE FOND HADRUPLUND,Socialtilsyn Midt,Tilbuddet selv,55.946617,10.041974,Odder Kommune
"Fonden Skov, Natur og Friluft Værkstedet","Ydergårdsvej 9
    

    2620 Albertslund","Godkendt
        31-03-2025","443,61 - 443,61 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","26 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    6 - Aktivitets- og samværstilbud, § 104","6 pladser -
                Kontakt afdelingen om ledige pladser",Christian Schwartzbach,cs@snfv.dk,44254300,,,,,,,,,,,Fonde og andre selvejende institutioner,27805108,"Fonden Skov, Natur og Friluft Værk",Albertslund Kommune,Tilbuddet selv,55.694505,12.348561,Albertslund Kommune
Hjemmepasning - afløsning i hjemmet. (RendbjergFavn),"Rendbjergvej 9
    

    6320 Egernsund","Godkendt
        19-02-2025","673,52 - 814,72 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","4 pladser -
                Kontakt afdelingen om ledige pladser",Brigitta Nielsen,bini@rendbjergfavn.dk,92821729,27.889.749 kr.,1.078.119 kr.,1.964.000 kr.,13.454.000 kr.,3.142.000 kr.,61 %,"3,87 %","77,25 %",8 %,"15,6 %",Fonde og andre selvejende institutioner,24193195,RendbjergFavn S/I,Socialtilsyn Syd,Tilbuddet selv,54.897697,9.62328,Sønderborg Kommune
Karriereværkstedet Ellehammersvej - Aktivitet og læring (Karriereværkstedet),"Ellehammersvej 8
    

    7100 Vejle","Godkendt
        26-05-2025",291 - 1.565 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","20 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    51 - Aktivitets- og samværstilbud, § 104","51 pladser -
                Kontakt afdelingen om ledige pladser",Marianne Maasbøl,mabol@vejle.dk,51519109,,,,,,,,,,,Primærkommune,29189900,Vejle Kommune,5798006363544,Tilbuddet selv,55.723317,9.564134,Vejle Kommune
"Opgangsfællesskabet Maglehøj, Ildtornevej 47,  3300 Frederiksværk (Center for Botilbud og Beskæftigelse)","Præstebrovej 14
    

    3310 Ølsted","Godkendt
        22-04-2025",1.038 - 1.038 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Bofællesskab, ABL § 3 stk. 2 og § 5 stk. 3","15 - Aktivitets- og samværstilbud, § 104
                
            
                
                    15 - Botilbudslignende tilbud, Bofællesskab, ABL § 3 stk. 2 og § 5 stk. 3","15 pladser -
                Kontakt afdelingen om ledige pladser",Anne Julie Lorentzen,ankil@halsnaes.dk,47760450,34.750.715 kr.,-1.100.426 kr.,1.455.918 kr.,24.291.523 kr.,3.687.027 kr.,,"-3,17 %","89,83 %","1,41 %","7,61 %",Primærkommune,29188416,Halsnæs Kommune,5790000223442,Tilbuddet selv,55.928062,12.074229,Halsnæs Kommune
"Pile Allé 2 (Udviklingscenter Vest, Beskæftigelsen, Pile Allé 2)","Pile Alle 2
    

    6760 Ribe","Godkendt
        14-11-2016",154 - 654 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104","20 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104","20 pladser -
            ingen ledige",Morten Jensen,ucv@esbjerg.dk,76168400,,,,,,,,,,,Primærkommune,29189803,Esbjerg Kommune,5798004983355,Tilbuddet selv,55.326592,8.771729,Esbjerg Kommune
Postgaarden (BostedDanmark),"Østervangsvej 18
    

    4683 Rønnede","Godkendt
        16-11-2024","2.185,61 - 6.556,84 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104","5 pladser -
            ingen ledige",René Keldorff,rene@bosteddanmark.dk,26747191,37.312.180 kr.,2.316.690 kr.,1.229.733 kr.,22.246.187 kr.,130.436 kr.,36 %,"6,21 %","72,52 %",6 %,13 %,Anpartsselskab,38234722,BostedDanmark ApS,Socialtilsyn Hovedstaden,Tilbuddet selv,55.281065,12.044632,Faxe Kommune
Regnbuehuset - Et Fontænehus,"Østerparken 13
    

    2630 Taastrup","Godkendt
        31-01-2017","491,31 - 491,31 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103","8 - Aktivitets- og samværstilbud, § 104
                
            
                
                    25 - Beskyttet beskæftigelsestilbud, § 103","8 pladser -
                Kontakt afdelingen om ledige pladser",Helle Nygaard Mottelson,,43528036,,,,,,,,,,,Øvrige virksomhedsformer,16289604,REGNBUEHUSET FOUNTAIN HOUSE,Høje-Taastrup Kommune,Høje-Taastrup Kommune,55.650449,12.304244,Høje-Taastrup Kommune
