Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Habitus Huset Hylledevej 24 (Habitus Huset Sølyst),"Hylledevej 24
    

    4683 Rønnede","Godkendt
        06-03-2025","21.333,35 - 21.333,35 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.141.048 kr.,2.102.384 kr.,267.464 kr.,19.720.538 kr.,3.284.926 kr.,"28,3 %","5,82 %","68,78 %","6,8 %","41,1 %",55.222624,12.05461
§ 108 Skærmet tilbud - Hus Alfa (Bostedet Chr.X´s Allé),"Industrivænget 9
    

    3320 Skævinge","Godkendt
        01-05-2025",21.404 - 21.404 kr.,"Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Ole Mikkelsen,chrxalle@ltk.dk,45976000,73.267.351 kr.,988.262 kr.,3.611.060 kr.,52.077.753 kr.,1.821.782 kr.,,"1,35 %","87,58 %","2,64 %","15,89 %",55.940714,12.18468
Botilbuddet Birkely - Industrivej (Botilbuddet Birkely),"Industrivej 12
    

    9440 Aabybro","Godkendt
        26-03-2025","3.641,42 - 6.845,9 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 pladser -
                Kontakt afdelingen om ledige pladser",Frederik From,info@birke-ly.dk,98279022,13.615.366 kr.,31.271 kr.,651.053 kr.,8.827.632 kr.,109.383 kr.,"38,1 %","0,23 %","81,65 %","6,13 %",0 %,57.153135,9.746103
Bofællesskabet Østbækhjemmet gr. 3 (Boliginstitutionen Østbækhjemmet),"Industrivej 19B
    

    6870 Ølgod","Godkendt
        26-11-2024","1.443,4 - 2.569,12 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    7 - Botilbud til længerevarende ophold, § 108","0 pladser -
            ingen ledige",Marianne Søndergård,kontor@ostbaekhjemmet.dk,75245947,12.260.836 kr.,1.028.619 kr.,1.386.399 kr.,6.752.178 kr.,1.259.979 kr.,"62,5 %","8,39 %","82,1 %","0,6 %","7,69 %",55.815,8.625687
Boliginstitutionen Østbækhjemmet,"Industrivej 19B
    

    6870 Ølgod","Godkendt
        26-11-2024","1.253,56 - 2.379,28 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
            ingen ledige",Marianne Søndergård,kontor@ostbaekhjemmet.dk,75245947,12.260.836 kr.,1.028.619 kr.,1.386.399 kr.,6.752.178 kr.,1.259.979 kr.,"62,5 %","8,39 %","82,1 %","0,6 %","7,69 %",55.815,8.625687
Specialtilbud - Ivar Huitfeldtsvej (Specialtilbud - Koktvedstien),"Ivar Huitfeldts Vej 4A
    

    9900 Frederikshavn","Godkendt
        17-09-2024",12.072 - 12.072 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Vibeke Müller,post@frederikshavn.dk,30763848,31.822.421 kr.,1.397.733 kr.,1.346.184 kr.,21.636.703 kr.,3.284.173 kr.,,"4,39 %","87,81 %","1,02 %","21,31 %",57.438388,10.523694
SUF BOAS Jægerspris,"Ivar Lykkes Vej 6 1
    

    3630 Jægerspris","Godkendt
        22-11-2024","3.427,72 - 3.427,72 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    13 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Kristian Andersen,kha@suf.dk,51372919,,,,,,,,,,,,
Boligerne på Jagtvej,"Jagtvej 13
    

    8450 Hammel","Godkendt
        25-09-2024",722 - 1.107 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
            ingen ledige",Kathrine Thøgersen,kstj@favrskov.dk,31603320,,,,,,,,,,,56.24718,9.872689
Botilbud Jens Warmings vej §107 (Botilbud ASPECT CSBB),"Jens Warmings Vej 56
    

    2300 København S","Godkendt
        25-04-2025",1.463 - 1.896 kr.,"Botilbud til midlertidige ophold, § 107","12 - Botilbud til midlertidige ophold, § 107","12 pladser -
            ingen ledige",Charlotte Daugaard,e798@kk.dk,27132615,37.642.744 kr.,-2.083.415 kr.,0 kr.,19.441.148 kr.,2.886.810 kr.,,"-5,53 %","63,74 %","15,49 %","19,3 %",55.644825,12.599744
CSV Sydfyn,"Jernbanegade 10
    

    5700 Svendborg","Godkendt
        28-08-2024","1.351,71 - 1.351,71 kr.","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Mie Britt Petersen,mie.petersen@svendborg.dk,51553295,,,,,,,,,,,55.058126,10.611541
Jernstøbervænget 9 (Habitus Huset Jernstøbervænget),"Jernstøbervænget 7
    

    4600 Køge","Godkendt
        06-03-2025","1.933,76 - 10.303,2 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 4 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.172.084 kr.,1.786.224 kr.,396.941 kr.,20.113.295 kr.,3.841.737 kr.,"46,2 %","4,94 %","72,71 %","5,2 %","37,04 %",55.458,12.175608
Habitus Huset Jernstøbervænget,"Jernstøbervænget 7
    

    4600 Køge","Godkendt
        06-03-2025","1.933,76 - 10.303,2 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","4 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","2 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.172.084 kr.,1.786.224 kr.,396.941 kr.,20.113.295 kr.,3.841.737 kr.,"46,2 %","4,94 %","72,71 %","5,2 %","37,04 %",55.458,12.175608
Botilbud Jershøj (Bo - og støttekorpset Tårnby Kommune.),"Jershøj 16
    

    2770 Kastrup","Godkendt
        23-10-2024","1.874,97 - 1.874,97 kr.","Botilbud til midlertidige ophold, § 107","5 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Dan Krusell,dbk.as@taarnby.dk,30760650,5.882.717 kr.,-633.219 kr.,0 kr.,3.578.884 kr.,143.807 kr.,,"-10,76 %","80,06 %","16,22 %",0 %,55.638663,12.608937
Habitus Huset Jerslevvej (Habitus Husene Fjelsted),"Jerslevvej 127
    

    9700 Brønderslev","Godkendt
        16-05-2024","1.933,76 - 13.311,16 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Aktivitets- og samværstilbud, § 104","1 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,78.293.856 kr.,5.543.833 kr.,1.331.314 kr.,44.552.175 kr.,3.608.590 kr.,"25,5 %","7,08 %","68,73 %",4 %,"40,21 %",57.27345,9.993714
Måneglimt,"Juellundvej 12
    

    4100 Ringsted","Godkendt
        11-11-2024","4.459 - 5.336,68 kr.","Botilbud til midlertidige ophold, § 107","6 - Botilbud til midlertidige ophold, § 107","6 pladser -
                Kontakt afdelingen om ledige pladser",Hanin Chams,hanin@maaneglimt.dk,31669861,,,,,,,,,,,55.414083,12.038912
Nova Støttecenter,"Jupitervej 30
    

    7000 Fredericia","Godkendt
        01-08-2024",552 - 1.644 kr.,"Botilbud til midlertidige ophold, § 107","30 - Botilbud til midlertidige ophold, § 107","30 pladser -
                Kontakt afdelingen om ledige pladser",Randi Kristensen,randi.kristensen@fredericia.dk,25512743,,,,,,,,,,,55.564065,9.716933
Habitus Huset Ahornvej (Habitus Huset Kæderupvej),"Kæderupvej 6B
    

    3200 Helsinge","Godkendt
        22-04-2025","1.933,76 - 11.462,31 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,46.178.858 kr.,3.895.289 kr.,484.740 kr.,24.937.259 kr.,4.304.297 kr.,"29,8 %","8,44 %","68,97 %","5,3 %","24,3 %",56.00971,12.235486
Habitus Huset Kæderupvej 6B (Habitus Huset Kæderupvej),"Kæderupvej 6B
    

    3200 Helsinge","Godkendt
        22-04-2025","1.933,76 - 10.489,23 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    6 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,46.178.858 kr.,3.895.289 kr.,484.740 kr.,24.937.259 kr.,4.304.297 kr.,"29,8 %","8,44 %","68,97 %","5,3 %","24,3 %",56.00971,12.235486
Habitus Huset Kæderupvej 4 (Habitus Huset Kæderupvej),"Kæderupvej 6B
    

    3200 Helsinge","Godkendt
        22-04-2025","2.522,38 - 15.375,62 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,46.178.858 kr.,3.895.289 kr.,484.740 kr.,24.937.259 kr.,4.304.297 kr.,"29,8 %","8,44 %","68,97 %","5,3 %","24,3 %",56.00971,12.235486
Kærsangervej 252,"Kærsangervej 252
    

    8800 Viborg","Godkendt
        24-01-2025","20,08 - 4.355 kr.","Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Maiken Søgaard,masoe@viborg.dk,20223167,,,,,,,,,,,56.439513,9.383138
"Bostederne Handicap Midt, afdeling Kærsangervej (Bostederne Handicap Midt)","Kærsangervej 68
    

    8800 Viborg","Godkendt
        09-04-2025",529 - 1.070 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 pladser -
            ingen ledige",Mads Sørensen,madsoe@viborg.dk,21672781,11.388.136 kr.,719.326 kr.,396.756 kr.,"6.782.473,49 kr.",1.205.032 kr.,,"6,32 %","79,52 %","4,96 %","29,01 %",56.442943,9.383712
Støttecenter Kærvej (Boområde Midt-Vest),"Kærvej 10
    

    5762 Vester Skerninge","Godkendt
        23-04-2025",416 - 6.924 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","13 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","13 pladser -
                Kontakt afdelingen om ledige pladser",Marco Bellacci,marco.rohmer.bellacci@svendborg.dk,21706472,10.385.488 kr.,22.266 kr.,156.187 kr.,7.081.347 kr.,835.732 kr.,,"0,21 %","84,45 %","6,5 %","9,52 %",55.072329,10.457859
Bo og Aktivitetstilbud Kærvej,"Kærvej 30
    

    9500 Hobro","Godkendt
        04-06-2024",2.547 - 3.915 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 pladser -
            ingen ledige",Mette Nielsen,mettn@mariagerfjord.dk,97114863,,,,,,,,,,,56.582578,9.739018
Velbo (Botilbuddet Selvbo ApS),"Kalundborgvej 39A
    

    4200 Slagelse","Godkendt
        21-02-2025","1.916,19 - 3.015,1 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    9 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Peter Mikael Olsen,po@selvbo.dk,27791150,32.727.220 kr.,1.998.628 kr.,3.267.644 kr.,15.697.302 kr.,486.653 kr.,"33,08 %","6,11 %","63,72 %","14,34 %",0 %,55.410421,11.338125
Indbo (Botilbuddet Selvbo ApS),"Kalundborgvej 39A
    

    4200 Slagelse","Godkendt
        21-02-2025","1.916,19 - 3.015,11 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    10 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Peter Mikael Olsen,po@selvbo.dk,27791150,32.727.220 kr.,1.998.628 kr.,3.267.644 kr.,15.697.302 kr.,486.653 kr.,"33,08 %","6,11 %","63,72 %","14,34 %",0 %,55.410421,11.338125
Selvbo (Botilbuddet Selvbo ApS),"Kalundborgvej 39A
    

    4200 Slagelse","Godkendt
        21-02-2025","1.916,19 - 3.015,1 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","8 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Peter Mikael Olsen,po@selvbo.dk,27791150,32.727.220 kr.,1.998.628 kr.,3.267.644 kr.,15.697.302 kr.,486.653 kr.,"33,08 %","6,11 %","63,72 %","14,34 %",0 %,55.410421,11.338125
Opbo (Botilbuddet Selvbo ApS),"Kalundborgvej 39A
    

    4200 Slagelse","Godkendt
        21-02-2025","1.916,19 - 3.015,11 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Peter Mikael Olsen,po@selvbo.dk,27791150,32.727.220 kr.,1.998.628 kr.,3.267.644 kr.,15.697.302 kr.,486.653 kr.,"33,08 %","6,11 %","63,72 %","14,34 %",0 %,55.410421,11.338125
Fasanvænget (Botilbuddet Selvbo ApS),"Kalundborgvej 39A
    

    4200 Slagelse","Godkendt
        21-02-2025","1.916,19 - 3.015,1 kr.","Botilbud til midlertidige ophold, § 107","5 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Peter Mikael Olsen,po@selvbo.dk,27791150,32.727.220 kr.,1.998.628 kr.,3.267.644 kr.,15.697.302 kr.,486.653 kr.,"33,08 %","6,11 %","63,72 %","14,34 %",0 %,55.410421,11.338125
Botilbud Spektrum,"Kalundborgvej 83
    

    4200 Slagelse","Godkendt med vilkår
        04-06-2024","2.530,01 - 2.638,76 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","6 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108","6 pladser -
                Kontakt afdelingen om ledige pladser",Jeanne Schou,js@botilbudspektrum.dk,21229045,,,,,,,,,,,55.415531,11.33644
Kollegiet Vinkelvej (Chaplins botilbud og kollegier ApS),"Kampergade 3A
    

    3000 Helsingør","Godkendt
        28-04-2025","1.513,99 - 2.189,61 kr.","Botilbud til midlertidige ophold, § 107","10 - Botilbud til midlertidige ophold, § 107","10 pladser -
            ingen ledige",Anders Kolze,anderskolze@chaplin.as,27898632,6.838.965 kr.,300.647 kr.,703.181 kr.,1.751.295 kr.,631.224 kr.,28 %,"4,4 %","59,4 %",15 %,16 %,56.036398,12.609631
Kornmagasinet (Fonden Corvia),"Kannevej 10
    

    8355 Solbjerg","Godkendt
        17-12-2024","1.552,54 - 1.552,54 kr.","Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Thomas Petersen,rollkjems@gmail.com,31636299,14.343.946 kr.,312.767 kr.,1.308.306 kr.,5.816.278 kr.,1.313.615 kr.,20 %,"2,18 %","68,06 %","11,23 %",0 %,56.010522,10.079579
Rantzausgavevej (Fonden Corvia),"Kannevej 10
    

    8355 Solbjerg","Godkendt
        17-12-2024","2.684,79 - 2.750,66 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","4 pladser -
                Kontakt afdelingen om ledige pladser",Thomas Petersen,rollkjems@gmail.com,31636299,14.343.946 kr.,312.767 kr.,1.308.306 kr.,5.816.278 kr.,1.313.615 kr.,20 %,"2,18 %","68,06 %","11,23 %",0 %,56.010522,10.079579
Fonden Corvia,"Kannevej 10
    

    8355 Solbjerg","Godkendt
        17-12-2024","2.684,79 - 2.750,66 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
                Kontakt afdelingen om ledige pladser",Thomas Petersen,rollkjems@gmail.com,31636299,14.343.946 kr.,312.767 kr.,1.308.306 kr.,5.816.278 kr.,1.313.615 kr.,20 %,"2,18 %","68,06 %","11,23 %",0 %,56.010522,10.079579
Dag- og Botilbud Gefion,"Karpevænget 1D
    

    3460 Birkerød","Godkendt
        27-11-2024",3.785 - 7.876 kr.,"Botilbud til længerevarende ophold, § 108","28 - Botilbud til længerevarende ophold, § 108","28 pladser -
            ingen ledige",Mikkel Johansen,msjo@rudersdal.dk,72683444,,,,,,,,,,,55.850832,12.455789
Kastaniebo,"Kastaniealle 3
    

    6270 Tønder","Godkendt
        23-03-2025",0 - 3.328 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","18 pladser -
            ingen ledige",Anita Carlsen-Rausch,ancar@toender.dk,21193389,,,,,,,,,,,54.94256,8.874773
Katrinehaven §108 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",7.574 - 8.347 kr.,"Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven,"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",452 - 8.347 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104","0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    0 - Aktivitets- og samværstilbud, § 104","0 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 4 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 1 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 6 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 5 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 3 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Katrinehaven klynge 2 (Katrinehaven),"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        18-04-2024",2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,50.710.699 kr.,2.611.271 kr.,1.622.412 kr.,"34.104.417,24 kr.",3.882.655 kr.,,"5,15 %","82,51 %","2,69 %","13,9 %",,
Kellersvej 5,"Kellersvej 5A
    

    2860 Søborg","Godkendt
        19-11-2024",1.639 - 2.864 kr.,"Botilbud til midlertidige ophold, § 107","11 - Botilbud til midlertidige ophold, § 107","11 pladser -
                Kontakt afdelingen om ledige pladser",Lea Isaksen,handicaptilbud@gladsaxe.dk,39573336,,,,,,,,,,,55.755287,12.497674
Kellersvej 6ABD (Kellersvej 6),"Kellersvej 6A
    

    2860 Søborg","Godkendt
        20-01-2025",2.280 - 6.548 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","18 pladser -
                Kontakt afdelingen om ledige pladser",Lea Isaksen,handicaptilbud@gladsaxe.dk,39573336,36.809.292 kr.,-16.867 kr.,0 kr.,27.953.708 kr.,488.134 kr.,,"-0,05 %","82,03 %","6,87 %","10,9 %",55.754365,12.496313
Kellersvej 6C (Kellersvej 6),"Kellersvej 6A
    

    2860 Søborg","Godkendt
        20-01-2025",4.996 - 6.548 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 pladser -
                Kontakt afdelingen om ledige pladser",Lea Isaksen,handicaptilbud@gladsaxe.dk,39573336,36.809.292 kr.,-16.867 kr.,0 kr.,27.953.708 kr.,488.134 kr.,,"-0,05 %","82,03 %","6,87 %","10,9 %",55.754365,12.496313
Autismetilbuddet Kelsbjergvej - botilbuddet (Autismetilbuddet Kelsbjergvej),"Kelsbjergvej 11
    

    5260 Odense S","Godkendt
        10-04-2025",2.657 - 7.051 kr.,"Rehabiliteringstilbud, § 107 
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","0 - Rehabiliteringstilbud, § 107 
                
            
                
                    35 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","35 pladser -
                Kontakt afdelingen om ledige pladser",Lene Mia Christiansen,lemc@odense.dk,20535902,,,,,,,,,,,55.316041,10.342048
