Navn,Adresse,Latitude,Longitude,Kontaktperson,Tilsynsstatus,Takster,Tilbudstyper,Pladser,Kapacitet
"Bofællesskabet Nord, Kirkevej","Kirkevej 25
  

  9990 Skagen",57.7237849,10.5805028,"Eva Abel

  21248347","Godkendt
  15-11-2024",Fra 1.102 - 2.739 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
  Kontakt afdelingen om ledige pladser"
"Syddjurs Bo- og Aktivitetstilbud, Tendrup Møllevej","Tendrup Møllevej 115
  

  8543 Hornslet",56.3172914,10.3057758,"Sandy Dalum

  29221903","Godkendt
  17-04-2024","Fra 2.545,26 - 2.545,26 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
Else Hus - Boenheder (Bo- og dagtilbud Else Hus),"Skelbakken 8
  

  2690 Karlslunde",55.5672914,12.2394788,"Jette Irene Kofoed

  46161822","Godkendt
  01-04-2025",Fra 3.760 - 4.814 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
  Kontakt afdelingen om ledige pladser"
Holmelunden (Skelbæk Centret),"Holmelunden 4
  

  6950 Ringkøbing",56.0902245,8.2608047,"Tina Skole

  20614690","Godkendt
  14-11-2024",Fra 1.028 - 3.631 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","38 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","38 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Jerslevvej (Habitus Husene Fjelsted),"Jerslevvej 127
  

  9700 Brønderslev",57.2734633,9.9938809,"Elizabeth Bergstrøm

  20610241","Godkendt
  16-05-2024","Fra 1.933,76 - 13.311,16 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige"
Bofællesskabet Kolt (Bofællesskabet i Aarhus Syd),"Bavnebakken 117
  

  8361 Hasselager",56.1099445,10.0817316,"Bente Helweg-Mikkelsen

  41855512","Godkendt
  17-01-2025",Fra 299 - 299 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
Mosaikken Hus 4 (Mosaikken),"Ringkøbingvej 112
  

  7400 Herning",56.1364102,8.9222873,"Charlotte Madsen

  22443879","Godkendt
  13-11-2024",Fra 6.331 - 8.005 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
Autismecenter Syd - Skovbo 58 (Autismecenter Syd - Skovbo 50 og 58),"Savværksvej 52
  

  6230 Rødekro",55.0700614,9.3276868,"Kirsten Friis Koch

  21282886","Godkendt
  23-04-2024",Fra 425 - 2.427 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 pladser -
  ingen ledige"
DSI Odinsgaard Hus C (Den selvejende institution Odinsgaard),"Odinsvej 186A
  

  6500 Vojens",55.2514534,9.2887628,"Michael Haubo Jakobsen

  26821033","Godkendt
  04-04-2025","Fra 2.456,55 - 2.456,55 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  ingen ledige"
Bofællesskabet Stenhøj (Bofællesskabet i Aarhus Syd),"Byvej 63
  

  8330 Beder",56.056306,10.2056776,"Bente Helweg-Mikkelsen

  41855512","Godkendt
  17-01-2025",Fra 360 - 360 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
  ingen ledige"
DSI Odinsgaard Hus D (Den selvejende institution Odinsgaard),"Odinsvej 186A
  

  6500 Vojens",55.2514534,9.2887628,"Michael Haubo Jakobsen

  26821033","Godkendt
  04-04-2025","Fra 2.456,55 - 2.456,55 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  ingen ledige"
Katrinehaven klynge 3 (Katrinehaven),"Katrinehaven 1, st.  62
  

  8800 Viborg",56.4710166,9.3849808,"Lilli Ane Urup

  87877325","Godkendt
  18-04-2024",Fra 2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  ingen ledige"
DSI Odinsgaard Hus E (Den selvejende institution Odinsgaard),"Odinsvej 186A
  

  6500 Vojens",55.2514534,9.2887628,"Michael Haubo Jakobsen

  26821033","Godkendt
  04-04-2025","Fra 2.456,55 - 2.456,55 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  ingen ledige"
Habitus Huset Næstvedvej (Habitus Huset Sølyst),"Næstvedvej 25
  

  4720 Præstø",55.1180719,11.9858154,"Elizabeth Bergstrøm

  20610241","Godkendt
  06-03-2025","Fra 1.933,76 - 19.399,59 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige"
"Pilegården (Autismecenter Midtjylland, Afdeling Hagelskærvej)","Hagelskærvej 15
  

  7430 Ikast",56.1475915,9.1445113,"Peter Prior

  99605301","Godkendt
  15-11-2024",Fra 2.565 - 3.184 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 pladser -
  ingen ledige"
Katrinehaven klynge 2 (Katrinehaven),"Katrinehaven 1, st.  62
  

  8800 Viborg",56.4710166,9.3849808,"Lilli Ane Urup

  87877325","Godkendt
  18-04-2024",Fra 2.257 - 3.804 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  ingen ledige"
Kobbelgården 1,"Thygesminde Allé 1
  

  7000 Fredericia",55.5694684,9.7039465,"Anne-Mette Green Olsen

  41174419","Godkendt
  11-04-2025",Fra 832 - 2.469 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
"Bofællesskab Syd, Kronen (Bofællesskab Syd,  Stygge Krumpen og Kronen)","Kronen 22B
  

  9300 Sæby",57.326656,10.515592999999999,"Eva Abel

  98455495","Godkendt
  02-12-2024",Fra 1.197 - 2.760 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  Kontakt afdelingen om ledige pladser"
Team 4 - 5 (Skansen 3) (Bofællesskaberne Inge og Sofie Marie),"Skansen 3
  

  4100 Ringsted",55.4506879,11.8100371,"Rikke Christensen

  57670750","Godkendt
  03-09-2024","Fra 2.154,13 - 3.429,63 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
  ingen ledige"
Bofællesskabet Langebjerg,"Langebjerg 3
  

  2850 Nærum",55.8126802,12.5283635,"Klaus Hald

  72683437","Godkendt
  16-05-2024",Fra 1.613 - 1.613 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","17 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","17 pladser -
  ingen ledige"
Bofællesskaber Team Midt,"Sandvejen 50
  

  8600 Silkeborg",56.1808499,9.536255,"Vinnie Binderup

  21791320","Godkendt
  13-02-2025",Fra 431 - 875 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  ingen ledige"
Boligfællesskabet Bækgården,"Møllevej 4C, st.  18
  

  4140 Borup",55.4969466,11.951469,"Tine Lange

  40135878","Godkendt
  29-11-2024",Fra 714 - 714 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","22 pladser -
  ingen ledige"
Botilbud Klostermosen,"Klostermosen 2
  

  4400 Kalundborg",55.6848498,11.1140095,"Susanne Rasmussen

  21205085","Godkendt
  15-08-2024",Fra 1.495 - 3.363 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","40 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","40 pladser -
  ingen ledige"
Afdeling B (Gennem Bakkerne),"Gennem Bakkerne 23B
  

  9310 Vodskov",57.1190974,10.0246618,"Jytte Olesen

  99317028","Godkendt
  14-08-2024",Fra 3.418 - 4.999 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
"Bostederne Handicap Midt, afdeling Vesterbrogade (Bostederne Handicap Midt)","Vesterbrogade 23C
  

  8800 Viborg",56.4494124,9.3958117,"Mads Sørensen

  21672781","Godkendt
  09-04-2025",Fra 520 - 1.438 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","14 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","14 pladser -
  ingen ledige"
Postens Vej 1 (Bofællesskabet Postens Vej),"H.O. Wildenskovsvej 10
  

  7080 Børkop",55.6553604,9.6682215,"Hanne Frandsen

  22841826","Godkendt
  22-04-2025",Fra 1.999 - 5.978 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 pladser -
  Kontakt afdelingen om ledige pladser"
"Bofællesskab Syd,  Stygge Krumpen (Bofællesskab Syd,  Stygge Krumpen og Kronen)","Stygge Krumpens Vej 52 1
  

  9300 Sæby",57.3326025,10.500388300000001,"Eva Abel

  98455495","Godkendt
  02-12-2024",Fra 1.197 - 2.760 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Kæderupvej 4 (Habitus Huset Kæderupvej),"Kæderupvej 6B
  

  3200 Helsinge",56.0097127,12.2355031,"Elizabeth Bergstrøm

  20610241","Godkendt
  22-04-2025","Fra 2.522,38 - 15.375,62 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige"
Nyvang Dystrupvej (Område Ørum - Nyvang),"Dystrupvej 4
  

  8586 Ørum Djurs",56.44406,10.671836,"Birte Kousted Pedersen

  40107504","Godkendt
  11-12-2024",Fra 3.274 - 4.510 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","3 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","3 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Reerslevvej (Habitus Huset Skellebjerg),"Reerslevvej 29
  

  4291 Ruds Vedby",55.5574017,11.3866142,"Elizabeth Bergstrøm

  25257069","Godkendt
  24-01-2024","Fra 2.669,29 - 19.107,67 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige"
Habitus Huset Gyvelvej (Habitus Huset Sølyst),"Gyvelvej 7
  

  4690 Haslev",55.3226806,11.9833964,"Elizabeth Bergstrøm

  20610241","Godkendt
  06-03-2025","Fra 1.933,76 - 21.333,35 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 1 pladser forbeholdt beboere på botilbuddet"
Botilbuddet Kirkeleddet 10 - 20 (Botilbuddet Kirkeleddet 8),"Kirkeleddet 8
  

  3230 Græsted",56.0650943,12.2783097,"Daniella Skafsgaard

  61952014","Godkendt med skærpet tilsyn
  16-01-2025",Fra 934 - 1.638 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Hylledevej 10 (Habitus Huset Sølyst),"Hylledevej 10
  

  4640 Faxe",55.2143617,12.0736247,"Elizabeth Bergstrøm

  20610241","Godkendt
  06-03-2025","Fra 1.933,76 - 21.333,35 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 1 pladser forbeholdt beboere på botilbuddet"
Det gamle Apotek (BostedDanmark),"Ny Ulsevej 17
  

  4690 Haslev",55.2957386,12.0018829,"René Keldorff

  26747191","Godkendt
  16-11-2024","Fra 2.198,02 - 6.593,09 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","7 - Botilbud til længerevarende ophold, § 108
  
  
  
  7 - Aktivitets- og samværstilbud, § 104","7 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 7 pladser forbeholdt beboere på botilbuddet"
Rønnebærkæret 33 (Habitus Huset Jernstøbervænget),"Rønnebærkæret 32
  

  2670 Greve",55.5865995,12.279249,"Elizabeth Bergstrøm

  20610241","Godkendt
  06-03-2025","Fra 2.608,24 - 18.296,77 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Birkehuset - projektafdeling (Bakkegården),"Annebergparken 62
  

  4500 Nykøbing Sj",55.9095476,11.6568415,"Peter Jørgensen

  59965900","Godkendt
  19-02-2025",Fra 7.611 - 21.596 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  5 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  3 - Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
  
  
  
  4 - Botilbud til midlertidige ophold, § 107","5 pladser -
  Kontakt afdelingen om ledige pladser"
Blå Kors Hjemmet Skannerup,"Søndergade 72
  

  8883 Gjern",56.2115256,9.7439029,"Anette Skals

  29689650","Godkendt
  09-12-2024","Fra 753,66 - 2.677,88 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Forsorgshjem/herberg, § 110
  
  
  
  Aktivitets- og samværstilbud, § 104","10 - Botilbud til længerevarende ophold, § 108
  
  
  
  15 - Botilbud til midlertidige ophold, § 107
  
  
  
  15 - Forsorgshjem/herberg, § 110
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser"
Bofællesskabet Reinsholmgård,"Melbyvej 63
  

  3370 Melby",56.0004935,11.9773684,"Frank Demolade Spring

  61788254","Godkendt
  25-04-2025","Fra 0 - 9.295,37 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
  
  
  
  3 - Botilbud til længerevarende ophold, § 108","6 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 3 pladser forbeholdt beboere på botilbuddet"
Bofællesskabet Varebørsen,"Smedekrogen 17
  

  5550 Langeskov",55.3591667,10.5925,"Susanne Kjær Christensen

  20366143","Godkendt
  09-02-2024",Fra 951 - 1.331 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
Boligerne Tycho Brahes vej (Socialpædagogisk Center - Vest),"Tycho Brahes Vej 4
  

  4690 Haslev",55.317998,11.969656,"Kathe Jeanette Rothausen

  30597257","Godkendt
  16-12-2024",Fra 442 - 1.980 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","38 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","38 pladser -
  Kontakt afdelingen om ledige pladser"
"Botilbuddet Sirius, afdeling Eskebjerg","Eskebjergvej 7
  

  5762 Vester Skerninge",55.1065905,10.4137076,"Dina Foskjær

  +4549405612","Godkendt
  11-04-2025","Fra 627,04 - 8.305,32 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Aktivitets- og samværstilbud, § 104
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til længerevarende ophold, § 108","4 - Botilbud til midlertidige ophold, § 107
  
  
  
  9 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  4 - Botilbud til længerevarende ophold, § 108","4 pladser -
  Kontakt afdelingen om ledige pladser"
"Botilbuddet Sirius, afdeling Hagesholm","Hagesholmvej 17
  

  4520 Svinninge",55.7671434,11.5560095,"Dina Foskjær

  +4549405612","Godkendt
  19-02-2025","Fra 627,04 - 9.283,13 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
  
  
  
  2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  2 - Botilbud til midlertidige ophold, § 107
  
  
  
  2 - Botilbud til længerevarende ophold, § 108","2 pladser -
  Kontakt afdelingen om ledige pladser"
"Botilbuddet Sirius, afdeling Møllebakke (Botilbuddet Sirius, afdeling Eskebjerg)","Møllebakkevej 6
  

  5750 Ringe",55.2809397,10.4645454,"Dina Foskjær

  +4549405612","Godkendt
  11-04-2025","Fra 627,04 - 8.305,32 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  6 - Aktivitets- og samværstilbud, § 104
  
  
  
  3 - Botilbud til længerevarende ophold, § 108
  
  
  
  2 - Botilbud til midlertidige ophold, § 107","6 pladser -
  ingen ledige"
Botilbuddet Søndergade (Boområde Øst),"Søndergade 69
  

  5884 Gudme",55.145302,10.702631,"Lone Lund

  40631397","Godkendt
  06-03-2025",Fra 880 - 7.388 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","18 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Brædstrup (Habitus Huset Nordahl),"Åstruplundvej 2
  

  8740 Brædstrup",55.9567079,9.5900667,"Elizabeth Bergstrøm

  25257069","Godkendt
  12-01-2025","Fra 1.933,76 - 18.704,12 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Nørkær (Habitus Husene Fjelsted),"Nørkær 30
  

  9480 Løkken",57.3465269,9.7876513,"Elizabeth Bergstrøm

  20610241","Godkendt
  16-05-2024","Fra 1.933,76 - 15.155,24 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Mathildebo (Betty),"Mathildevej 11
  

  2000 Frederiksberg",55.675509,12.5174634,"Sanne Victoria Mylenberg

  28989595","Godkendt
  22-05-2024","Fra 604,8 - 604,8 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
  ingen ledige"
Sagagården (Sol- og Sagagården),"Oddervej 247A
  

  8270 Højbjerg",56.0981068,10.2141832,"Camilla Madsen

  41854172","Godkendt
  24-03-2025",Fra 1.416 - 5.367 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","6 - Botilbud til længerevarende ophold, § 108
  
  
  
  6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  ingen ledige"
"Socialpædagogisk Center Næstved, Spiræahaven","Spiræavej 91
  

  4700 Næstved",55.2200219,11.7427135,"Dorthe Solveig Margrethe Aalbæk Sørensen

  40292552","Godkendt
  22-10-2024","Fra 481,89 - 481,89 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 pladser -
  ingen ledige"
Sofiendal (BostedDanmark),"Sofiendalsvej 11
  

  4690 Haslev",55.3296822,11.965263,"René Keldorff

  26747191","Godkendt
  16-11-2024","Fra 2.215,19 - 6.644,61 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","5 - Botilbud til længerevarende ophold, § 108
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser"
Solgården (Sol- og Sagagården),"Oddervej 247A
  

  8270 Højbjerg",56.0981068,10.2141832,"Camilla Madsen

  41854172","Godkendt
  24-03-2025",Fra 1.416 - 5.367 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","6 - Botilbud til længerevarende ophold, § 108
  
  
  
  6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  ingen ledige"
Stokholtbuen,"Stokholtbuen 17
  

  2730 Herlev",55.7351118,12.4076482,"Vibeke Kynde

  44776201","Godkendt med skærpet tilsyn og påbud
  26-02-2025",Fra 0 - 8.776 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","36 - Aktivitets- og samværstilbud, § 104
  
  
  
  36 - Botilbud til længerevarende ophold, § 108","36 pladser -
  ingen ledige"
Vester Hassing,"Nåleøjet 70 30
  

  9310 Vodskov",57.0620641,10.1320545,"Rikke Jørgensen

  25100228","Godkendt
  10-12-2024",Fra 2.087 - 3.613 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","30 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","30 pladser -
  Kontakt afdelingen om ledige pladser"
Vestereng botilbud (Vestereng),"Vestereng 2
  

  5881 Skårup Fyn",55.0922374,10.6862709,"Angela Nielsen

  62236728","Godkendt
  05-01-2024",Fra 1.469 - 5.032 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","29 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","29 pladser -
  Kontakt afdelingen om ledige pladser"
Æblevej 2,"Æblevej 2
  

  6240 Løgumkloster",55.0829564,8.9356093,"Marianne Styrk

  29432494","Godkendt
  22-01-2025",Fra 2.035 - 3.599 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  Kontakt afdelingen om ledige pladser"
Baldergården,"Oddervej 249
  

  8270 Højbjerg",56.0973491,10.2125518,Navnet er hemmeligt,"Godkendt
  08-07-2024",Fra 2.497 - 2.497 kr.,"Botilbud til midlertidige ophold, § 107","8 - Botilbud til midlertidige ophold, § 107","8 pladser -
  ingen ledige"
Botilbud Hans Knudsens Plads (Vinklen §107 CSBB),"Hans Knudsens Plads 3B, 4. 
  

  2100 København Ø",55.7144257,12.5618483,"Susanne Inger Wolfsberg

  26816667","Godkendt
  07-04-2025",Fra 1.015 - 1.602 kr.,"Botilbud til midlertidige ophold, § 107","12 - Botilbud til midlertidige ophold, § 107","12 pladser -
  ingen ledige"
