Navn,Adresse,Latitude,Longitude,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon
CentrumPlus Aktiv Samvær - Herstedvang 12A (CentrumPlus Aktiv Samvær),"Baldershøj 24A, st.  tv
  

  2635 Ishøj",55.6150029,12.3208094,"Godkendt
  02-04-2025","1.625,62 - 1.625,62 kr.","Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  ingen ledige",Walid El-Mohammad,welm@centrumplus.dk,72412345
Klub BOAS (SUF - BOAS Mentor),"Falkoner Alle 58B, st. 
  

  2000 Frederiksberg",55.683697,12.5374468,"Godkendt
  12-07-2024","278,57 - 278,57 kr.","Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  Kontakt afdelingen om ledige pladser",Vickie Marion Monsen,vd@suf.dk,30844941
Ungeaften (Villa Social),"Poppelhusene 1
  

  2600 Glostrup",55.6739299,12.3741782,"Godkendt
  06-07-2023",13 - 13 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Lose Elholm,pll@albertslund.dk,51687577
Bevægelse og Samvær (Job- og Aktivitetscenteret),"Sandtoften 3
  

  2820 Gentofte",55.7575324,12.5033439,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
  Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855
Dagtilbud (Ryttervej Botilbud),"Ryttervej 51
  

  5700 Svendborg",55.0638577,10.5788171,"Godkendt
  17-03-2025",234 - 1.527 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
  ingen ledige",Charlotte Larsen,charlotte.kremmer.larsen@svendborg.dk,62233133
Rehabilitering og Udviklingscenter Filadelfia - §104 Brommeparken (Rehabilitering og Udviklingscenter Filadelfia),"Værkstedsvej 1
  

  4293 Dianalund",55.5287777,11.5013164,"Godkendt
  19-01-2017","370,15 - 407,36 kr.","Aktivitets- og samværstilbud, § 104","9 - Aktivitets- og samværstilbud, § 104","9 pladser -
  Kontakt afdelingen om ledige pladser",Helle Lene Nielsen,hlnis@filadelfia.dk,58271330
Annexgårdens § 104 (Annexgårdens Bosted ApS),"Tømmerupvej 14
  

  4440 Mørkøv",55.6006151,11.5006253,"Godkendt
  11-11-2024","351,07 - 351,07 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 5 pladser forbeholdt beboere på botilbuddet",Kim Nielsen,kn@annexgaarden.net,21606268
"Globen Vester Hornum Aktivitets og Samværstilbud §104 (Globen og Senhjerneskade, Vesthimmerland)","Hovedgaden 83
  

  9640 Farsø",56.8379155,9.358902,"Godkendt
  29-11-2024",679 - 679 kr.,"Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  Kontakt afdelingen om ledige pladser",Maria Høgh,mhog@vesthimmerland.dk,4521289182
Sansning og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 5
  

  2820 Gentofte",55.7517012,12.5094809,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","21 - Aktivitets- og samværstilbud, § 104","21 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Dam Naumann,pdu@gentofte.dk,21350738
Aktivitets- og Samværstilbuddet Egedammen,"Skovledet 14
  

  3400 Hillerød",55.9275539,12.3347866,"Godkendt
  06-05-2024",695 - 695 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  Kontakt afdelingen om ledige pladser",Lisbeth Malmer Jensen,lijn@hillerod.dk,72323900
Aktivitetscentret Birkegården,"Tranegårdsvej 73
  

  2900 Hellerup",55.7437002,12.5576658,"Godkendt
  01-12-2021","1.287,66 - 2.146,33 kr.","Aktivitets- og samværstilbud, § 104","19 - Aktivitets- og samværstilbud, § 104","19 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Naumann,pdu@gentofte.dk,21350738
Asta Fonden - Lærkevej Stuen,"Lærkevej 3
  

  2400 København NV",55.702079,12.5309485,"Godkendt
  10-07-2023","1.000,75 - 2.161,76 kr.","Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
  Kontakt afdelingen om ledige pladser",Louise Birgitte Larsen,dw4x@kk.dk,60649090
Bogstøtten (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  10-03-2023","5.714,46 - 5.714,46 kr.","Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104",,,,
Bogstøtten (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  30-10-2024","201,29 - 201,29 kr.","Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104","60 pladser -
  Kontakt afdelingen om ledige pladser",Maria Clemensen,maria@fountain-house.dk,23108196
CentrumPlus Aktiv Samvær - Baldershøj 12A (CentrumPlus Aktiv Samvær),"Baldershøj 24A, st.  tv
  

  2635 Ishøj",55.6150029,12.3208094,"Godkendt
  02-04-2025","1.625,62 - 1.625,62 kr.","Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  ingen ledige",Walid El-Mohammad,welm@centrumplus.dk,72412345
Empata,"Grusgraven 10
  

  2880 Bagsværd",55.7574803,12.4511318,"Godkendt
  25-04-2025","0 - 1.106,64 kr.","Aktivitets- og samværstilbud, § 104","28 - Aktivitets- og samværstilbud, § 104","28 pladser -
  Kontakt afdelingen om ledige pladser",Berry Dennis Sode,berry@empata.dk,20126867
Fønix,"Egevej 7C
  

  8783 Hornsyld",55.7553381,9.8562927,"Godkendt
  12-03-2015","402,69 - 631,16 kr.","Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
  Kontakt afdelingen om ledige pladser",Klavs Thomsen Hansen,Klavs.T.Hansen@Hedensted.dk,29162547
IKT Raatstof (Job- og Aktivitetscenteret),"Sandtoften 3
  

  2820 Gentofte",55.7575324,12.5033439,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Jannik Hellis Jacobsen,jhja@gentofte.dk,51688397
KreAktiv ung (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",593 - 842 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Kreativitet og Samvær (Job- og Aktivitetscenteret),"Sandtoften 3
  

  2820 Gentofte",55.7575324,12.5033439,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Jannik Hellis Jacobsen,jhja@gentofte.dk,51688397
Makers Corner,"Penselstrøget 66
  

  4000 Roskilde",55.627831,12.0820562,"Godkendt
  06-02-2014",409 - 409 kr.,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
  Kontakt afdelingen om ledige pladser",Lillian Olsen,lilliano@roskilde.dk,46315570
Nærvær og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 17
  

  2820 Gentofte",55.7522862,12.506967,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855
STU Klubtilbud (Job- og Aktivitetscenteret),"Hartmannsvej 23
  

  2900 Hellerup",55.7418326,12.5655469,"Godkendt
  24-06-2024",115 - 115 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Camilla Johansson,cajo@gentofte.dk,51418255
Samværet (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",593 - 842 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Spektrum (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",842 - 842 kr.,"Aktivitets- og samværstilbud, § 104","13 - Aktivitets- og samværstilbud, § 104","13 pladser -
  Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Svinget (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",842 - 842 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Udeliv og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 15
  

  2820 Gentofte",55.7523846,12.5073323,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855
Vestereng dagtilbud (Vestereng),"Vestereng 2
  

  5881 Skårup Fyn",55.0922374,10.6862709,"Godkendt
  05-01-2024",320 - 819 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  ingen ledige",Angela Nielsen,angela.ostergaard.nielsen@svendborg.dk,62236728
Værestedet Kilden,"Kirkevej 36
  

  7760 Hurup Thy",56.7523245,8.4243503,"Godkendt
  20-12-2021",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","65 - Aktivitets- og samværstilbud, § 104","65 pladser -
  Kontakt afdelingen om ledige pladser",Sine Bjerregaard,kildenhurup@kfumsoc.dk,97952900
Aktivitetshus Otterupvej 7-9-10 (Aktivitets- og samværstilbud),"Otterupvej 9
  

  4700 Næstved",55.205514,11.763883,"Godkendt
  15-01-2016",385 - 385 kr.,"Aktivitets- og samværstilbud, § 104","137 - Aktivitets- og samværstilbud, § 104","137 pladser -
  Kontakt afdelingen om ledige pladser",Lena Nielsen,lesax@naestved.dk,25450649
Aktivitetstilbuddet Frydenslund,"Grønnegade 10
  

  8600 Silkeborg",56.1652831,9.5361044,"Godkendt
  19-03-2025",141 - 880 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","32 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  68 - Aktivitets- og samværstilbud, § 104","32 pladser -
  ingen ledige",Jannie Rosendal Kristensen,jannierosendal.kristensen2@silkeborg.dk,60151994
Asta Fonden - Lærkevej 1. sal,"Lærkevej 3
  

  2400 København NV",55.702079,12.5309485,"Godkendt
  10-07-2023","2.093,08 - 2.093,08 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Louise Birgitte Larsen,dw4x@kk.dk,60649090
"Autismecenter Nord-Bo, DGV","Industrivej 27A
  

  9440 Aabybro",57.1546437,9.7434856,"Godkendt
  23-11-2023","695,67 - 695,67 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","22 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  24 - Aktivitets- og samværstilbud, § 104","24 pladser -
  Kontakt afdelingen om ledige pladser",Lolita Rosenvinge,lar@nordbo.dk,26177409
Autismecenter Storstrøm - klubtilbud,"Færgegaardsvej 15
  

  4760 Vordingborg",55.0001155,11.9110728,"Godkendt
  13-10-2015",712 - 712 kr.,"Særlige klubtilbud, § 82, jf. § 84
  
  
  
  Aktivitets- og samværstilbud, § 104","12 - Særlige klubtilbud, § 82, jf. § 84
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Charlotte Folmer,spcfo@vordingborg.dk,55363600
"Bagland (Specialområde Autisme, Hinnerup)","Provstegade 10
  

  8900 Randers C",56.4616131,10.0360239,"Godkendt
  22-10-2024",137 - 207 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","18 - Aktivitets- og samværstilbud, § 104
  
  
  
  19 - Beskyttet beskæftigelsestilbud, § 103","19 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 6 pladser forbeholdt beboere på botilbuddet",Sanne Frølund,Safroe@rm.dk,24753799
"CABAS, Nygård, Helsingør (CABAS)","Højvangen 11
  

  3060 Espergærde",55.9924575,12.5304651,"Godkendt
  10-03-2016",472 - 2.137 kr.,"Aktivitets- og samværstilbud, § 104","52 - Aktivitets- og samværstilbud, § 104","52 pladser -
  Kontakt afdelingen om ledige pladser",Michael Christian Simonsen,michs@helsingor.dk,49284800
Cafeerne i Multihuset,"Horsedammen 42
  

  2605 Brøndby",55.664314,12.4298936,"Godkendt
  09-04-2015",392 - 392 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Hanne Egelund Christensen,hch@brondby.dk,29455043
DAGCENTRET CHRISTIANEHØJ,"Christianehøj 193
  

  2860 Søborg",55.7406978,12.5154057,"Godkendt
  25-04-2025","385,42 - 729,81 kr.","Aktivitets- og samværstilbud, § 104","150 - Aktivitets- og samværstilbud, § 104","150 pladser -
  Kontakt afdelingen om ledige pladser",Lisa Skov,lisa@christianehoj.dk,41786720
Daghøjskolen Unikos,"Gladsaxe Møllevej 15, 4. 
  

  2860 Søborg",55.732944,12.4756266,"Godkendt
  25-04-2025","674,48 - 674,48 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","5 - Aktivitets- og samværstilbud, § 104
  
  
  
  15 - Beskyttet beskæftigelsestilbud, § 103","5 pladser -
  Kontakt afdelingen om ledige pladser",Linda Schwartz Larsen,leder@unikos.dk,31669077
Energivej (Udviklingscenter Vest - Beskæftigelsen og Aktiviteten Energivej),"Energivej 1
  

  6700 Esbjerg",55.4650555,8.4964809,"Godkendt
  16-11-2021",154 - 654 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","22 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  ingen ledige",Morten Jensen,ucv@esbjerg.dk,76168400
Gødvad Beskæftigelse og Uddannelse (Specialområde Autisme Gødvad),"Stavangervej 13C
  

  8600 Silkeborg",56.1789717,9.594212,"Godkendt
  03-01-2025",502 - 502 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","10 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 7 pladser forbeholdt beboere på botilbuddet",Sanne Frølund,safroe@rm.dk,24753799
Habitus Huset Hylledevej 10 (Habitus Huset Sølyst),"Hylledevej 10
  

  4640 Faxe",55.2143617,12.0736247,"Godkendt
  06-03-2025","1.933,76 - 21.333,35 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Habitus Huset Kæderupvej 4 (Habitus Huset Kæderupvej),"Kæderupvej 6B
  

  3200 Helsinge",56.0097127,12.2355031,"Godkendt
  22-04-2025","2.522,38 - 15.375,62 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Muhabet,"Bragesgade 8C
  

  2200 København N",55.6993055,12.5440437,"Godkendt
  17-06-2024","307,19 - 307,19 kr.","Aktivitets- og samværstilbud, § 104","200 - Aktivitets- og samværstilbud, § 104","200 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Agerbæk,muhabet@muhabet.dk,93836304
Rønnebærkæret 32 (Habitus Huset Jernstøbervænget),"Rønnebærkæret 32
  

  2670 Greve",55.5865995,12.279249,"Godkendt
  06-03-2025","2.340,16 - 7.022,39 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
"Socialpsykiatrisk Støttecenter ""Clasens Gård"", Sæby","Algade 3A
  

  9300 Sæby",57.335306,10.5216809,"Godkendt
  23-06-2016",202 - 202 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Alice Winther Petersen,alpe@frederikshavn.dk,20953506
"Socialpsykiatrisk støttecenter, Skagen",,,,"Godkendt
  27-04-2016",202 - 202 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Betinna Kirkeby Kjær,bkkj@frederikshavn.dk,24203151
Værkstederne Sundby Væksthus Captum (Dagtilbuddet Captum),"Vordingborggade 15
  

  2100 København Ø",55.7081253,12.5803287,"Godkendt
  10-07-2023",616 - 2.136 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","99 - Aktivitets- og samværstilbud, § 104
  
  
  
  10 - Beskyttet beskæftigelsestilbud, § 103","99 pladser -
  Kontakt afdelingen om ledige pladser",Vibeke Jessen,KU3T@kk.dk,23811241
Dagtilbud (Fonden Skovhaven),"Frederiksgade 17D
  

  5700 Svendborg",55.0588799,10.6121707,"Godkendt med vilkår
  13-12-2024","1.740,1 - 1.740,1 kr.","Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","4 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 16 pladser forbeholdt beboere på botilbuddet",Helle Præstekjær,hsp@skovhaven-fyn.dk,25367437
FONDEN UNGES,"Lerhøj 7
  

  2880 Bagsværd",55.7566773,12.4479034,"Godkendt
  25-04-2025","334,62 - 350,75 kr.","Særlige klubtilbud, § 82, jf. § 84
  
  
  
  Aktivitets- og samværstilbud, § 104","3 - Særlige klubtilbud, § 82, jf. § 84
  
  
  
  22 - Aktivitets- og samværstilbud, § 104","22 pladser -
  Kontakt afdelingen om ledige pladser",Britta Jensen,leder@unges.dk,22328082
Fonden Center for Autisme,"Herlev Hovedgade 199
  

  2730 Herlev",55.7247065,12.4233015,"Godkendt
  03-12-2024","117,34 - 643,95 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","110 - Aktivitets- og samværstilbud, § 104
  
  
  
  25 - Beskyttet beskæftigelsestilbud, § 103","110 pladser -
  Kontakt afdelingen om ledige pladser",Marianne Tankred Luckow,sos@centerforautisme.dk,44982355
Grønnemoseværkstederne,"Grønnemosevej 7
  

  5700 Svendborg",55.0756948,10.5846777,"Godkendt
  27-04-2016",235 - 719 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","98 - Aktivitets- og samværstilbud, § 104
  
  
  
  42 - Beskyttet beskæftigelsestilbud, § 103","98 pladser -
  ingen ledige",Tine Lund,tine.rudbech.lund@svendborg.dk,4524886747
Habitus Huset Gyvelvej (Habitus Huset Sølyst),"Gyvelvej 7
  

  4690 Haslev",55.3226806,11.9833964,"Godkendt
  06-03-2025","1.933,76 - 21.333,35 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Habitus Huset Jerslevvej (Habitus Husene Fjelsted),"Jerslevvej 127
  

  9700 Brønderslev",57.2734633,9.9938809,"Godkendt
  16-05-2024","1.933,76 - 13.311,16 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Habitus Huset Næstvedvej (Habitus Huset Sølyst),"Næstvedvej 25
  

  4720 Præstø",55.1180719,11.9858154,"Godkendt
  06-03-2025","1.933,76 - 19.399,59 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Habitus Huset Reerslevvej (Habitus Huset Skellebjerg),"Reerslevvej 29
  

  4291 Ruds Vedby",55.5574017,11.3866142,"Godkendt
  24-01-2024","2.669,29 - 19.107,67 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,25257069
"Hinnerup Beskæftigelse og Uddannelse (Specialområde Autisme, Hinnerup)","Storegade 5G
  

  8382 Hinnerup",56.2643063,10.0612919,"Godkendt
  22-10-2024",226 - 226 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","30 - Aktivitets- og samværstilbud, § 104
  
  
  
  30 - Beskyttet beskæftigelsestilbud, § 103","30 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 10 pladser forbeholdt beboere på botilbuddet",Sanne Frølund,Safroe@rm.dk,24753799
Højagergaard (AKU-center Frederikssund),"Højager 20
  

  3550 Slangerup",55.8577717,12.1820198,"Godkendt
  05-11-2019",492 - 1.628 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","84 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  3 - Aktivitets- og samværstilbud, § 104","84 pladser -
  Kontakt afdelingen om ledige pladser",Søren Andersen,soand@frederikssund.dk,21598587
Musvågevej Nord (Musvågevej),"Musvågevej 24
  

  2400 København NV",55.7013917,12.5282274,"Godkendt
  29-04-2025",694 - 5.187 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Aktivitets- og samværstilbud, § 104
  
  
  
  18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige",Ann-Sophie Bügel Colberg,ja9s@kk.dk,24423928
Rønnebærkæret 33 (Habitus Huset Jernstøbervænget),"Rønnebærkæret 32
  

  2670 Greve",55.5865995,12.279249,"Godkendt
  06-03-2025","2.608,24 - 18.296,77 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
Sagagården (Sol- og Sagagården),"Oddervej 247A
  

  8270 Højbjerg",56.0981068,10.2141832,"Godkendt
  24-03-2025",1.416 - 5.367 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","6 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Botilbud til længerevarende ophold, § 108","6 pladser -
  ingen ledige",Camilla Madsen,cav@msb.aarhus.dk,41854172
Sofiendal (BostedDanmark),"Sofiendalsvej 11
  

  4690 Haslev",55.3296822,11.965263,"Godkendt
  16-11-2024","2.215,19 - 6.644,61 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","5 - Aktivitets- og samværstilbud, § 104
  
  
  
  5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  Kontakt afdelingen om ledige pladser",René Keldorff,rene@bosteddanmark.dk,26747191
"Specialområde Autisme, Tørring - Beskæftigelse og Uddannelse (Specialområde Autisme, Tørring)","Skolevænget 5, st.  1
  

  7160 Tørring",55.859978,9.4856389,"Godkendt
  07-10-2024",242 - 242 kr.,"Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Aktivitets- og samværstilbud, § 104","30 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 20 pladser forbeholdt beboere på botilbuddet",Sanne Frølund,Safroe@rm.dk,24753799
Stokholtbuen,"Stokholtbuen 17
  

  2730 Herlev",55.7351118,12.4076482,"Godkendt med skærpet tilsyn og påbud
  26-02-2025",0 - 8.776 kr.,"Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108","36 - Aktivitets- og samværstilbud, § 104
  
  
  
  36 - Botilbud til længerevarende ophold, § 108","36 pladser -
  ingen ledige",Vibeke Kynde,vibk@balk.dk,44776201
Syrenhuset,"Syrenbakken 49
  

  9400 Nørresundby",57.0678797,9.9274533,"Godkendt med vilkår
  19-02-2025",402 - 4.316 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Aktivitets- og samværstilbud, § 104","48 - Botilbud til midlertidige ophold, § 107
  
  
  
  48 - Aktivitets- og samværstilbud, § 104","48 pladser -
  Kontakt afdelingen om ledige pladser",Michell Kannegaard,fagc-saerl-tilbud@aalborg.dk,99317095
Søndermarken (Den selvejende institution Røllum Gl. Skole),"Tinglevvej 256
  

  6200 Aabenraa",54.9842144,9.3870143,"Godkendt
  04-11-2024","714,89 - 714,89 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Beskyttet beskæftigelsestilbud, § 103","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  11 - Beskyttet beskæftigelsestilbud, § 103","11 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 3 pladser forbeholdt beboere på botilbuddet",Hans Peter Jessen,glskole@rollum.dk,51443304
